//X Y Z Classification
504054.75 463007.12000275 383.75 2
504054.72999954 463007.97000122 383.70001221 2
504054.88999939 463008.08000183 383.72000122 2
504054.70999908 463008.55999756 383.73001099 2
504055.70999908 463007.45999908 383.79998779 2
504055.68000031 463007.68000031 383.76998901 2
504054.90000153 463008.84999847 383.73001099 2
504055.74000168 463007.91000366 383.75 2
504056.31999969 463007.31999969 383.76998901 2
504054.81000137 463009.44000244 383.73999023 2
504056.02999878 463007.98000336 383.69000244 2
504056.22999954 463007.83000183 383.77999878 2
504056.61999893 463007.44999695 383.80999756 2
504055.11999893 463009.54000092 383.70999146 2
504055.08000183 463009.72000122 383.73999023 2
504055.66999817 463009.06999969 383.73999023 2
504056.47999954 463008.11000061 383.79000854 2
504056.40999985 463008.31999969 383.85998535 2
504056.18999863 463008.70999908 383.76998901 2
504057.22000122 463007.45999908 383.76000977 2
504056.47000122 463008.55000305 383.88000488 2
504057.11999893 463007.80000305 383.83999634 2
504057.61000061 463007.25 383.72000122 2
504056.34000015 463009.01000214 383.83999634 2
504056.22999954 463009.25 383.79000854 2
504056.29000092 463009.27999878 383.76998901 2
504057.13999939 463008.23999786 383.76998901 2
504056.99000168 463008.51000214 383.75 2
504056.24000168 463009.58999634 383.76000977 2
504057.25999832 463008.33999634 383.73001099 2
504057.77999878 463007.72000122 383.70001221 2
504056.79999924 463009.09999847 383.75 2
504055.43000031 463010.97000122 383.6499939 2
504055.88999939 463010.44000244 383.70999146 2
504058.08000183 463007.62000275 383.70001221 2
504057.68999863 463008.22000122 383.67999268 2
504058.04999924 463007.80999756 383.73999023 2
504058.36000061 463007.48999786 383.72000122 2
504057.33000183 463008.91000366 383.69000244 2
504057.13000107 463009.26000214 383.73001099 2
504055.43000031 463011.55999756 383.67001343 2
504058.24000168 463007.91999817 383.73001099 2
504056.63999939 463010.09999847 383.82998657 2
504058.09000015 463008.26000214 383.70001221 2
504055.49000168 463011.76000214 383.70999146 2
504058.68999863 463007.59999847 383.80999756 2
504057.66999817 463009.01000214 383.72000122 2
504058.25 463008.30999756 383.73999023 2
504057.43999863 463009.41999817 383.70999146 2
504055.70000076 463011.79000092 383.69000244 2
504058.77000046 463007.80000305 383.73999023 2
504056.36000061 463011.02999878 383.73001099 2
504058.29999924 463008.54000092 383.76000977 2
504058.09999847 463008.86000061 383.72000122 2
